model,accuracy,auc,log_loss,brier,n,base_rate
logistic_regression,0.5541259982253771,0.5171980951168968,0.6867991271889905,0.24683334429603382,9016,0.5591171251109139
xgboost_classifier,0.5634427684117125,0.5688295099679483,0.6807590356146719,0.24382169544696808,9016,0.5591171251109139
